                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84423,                  1.285,                 1.0387,                0.82759,                      1,                0.82345,                 0.5311,                 1.1331,                 6.0301,                 1.6338,             0.00065556,             0.00065556,             0.00065556
                      2,                0.72318,                0.75689,                0.98181,                0.00651,                      1,                 0.0065,                0.00191,                 2.9907,                    inf,                 13.664,              0.0013021,              0.0013021,              0.0013021
                      3,                0.74418,                 0.6401,                0.98873,                0.17398,                0.83333,                0.16869,                 0.0977,                 1.3206,                 6.1289,                  1.204,              0.0019283,              0.0019283,              0.0019283
                      4,                0.67896,                0.56835,                0.96315,                0.09199,                0.20833,                0.07026,                0.02441,                 2.1473,                 4.0241,                 2.1927,              0.0019086,              0.0019086,              0.0019086
                      5,                0.61665,                 0.5102,                0.94449,                0.79348,                0.96061,                 0.9717,                0.78434,                0.62892,                 1.2971,                0.81791,              0.0018782,              0.0018782,              0.0018782
                      6,                0.57516,                0.47182,                0.93199,                0.95775,                      1,                 0.9618,                0.82183,                0.63855,                0.43838,                0.76021,              0.0018477,              0.0018477,              0.0018477
                      7,                0.53245,                0.43821,                 0.9209,                0.95773,                      1,                 0.9702,                0.87703,                 0.4795,                0.39748,                0.71278,              0.0018172,              0.0018172,              0.0018172
                      8,                0.50771,                0.42008,                0.91327,                0.95556,                      1,                 0.9552,                0.81239,                0.56195,                0.60144,                0.75071,              0.0017868,              0.0017868,              0.0017868
                      9,                0.52256,                0.42764,                0.91058,                0.81406,                      1,                0.92765,                0.78554,                0.65692,                0.74475,                0.73787,              0.0017563,              0.0017563,              0.0017563
                     10,                0.49635,                0.42178,                0.90262,                0.95298,                      1,                 0.9686,                 0.7629,                0.96811,                0.54598,                0.84614,              0.0017258,              0.0017258,              0.0017258
                     11,                0.47573,                0.39513,                0.89486,                0.95796,                      1,                 0.9734,                0.89162,                0.56359,                0.41837,                0.69606,              0.0016954,              0.0016954,              0.0016954
                     12,                  0.457,                 0.3731,                0.89109,                0.94335,                      1,                 0.9618,                0.84983,                0.53068,                0.55785,                0.72388,              0.0016649,              0.0016649,              0.0016649
                     13,                0.48727,                0.38777,                0.89188,                 0.9475,                      1,                 0.9602,                0.84827,                0.50846,                0.41909,                0.73188,              0.0016345,              0.0016345,              0.0016345
                     14,                 0.4222,                0.34378,                0.88174,                0.82738,                      1,                 0.9552,                0.84148,                0.50449,                0.47722,                0.73145,               0.001604,               0.001604,               0.001604
                     15,                0.44728,                0.35056,                0.88474,                0.95789,                      1,                 0.9552,                0.88747,                0.42465,                0.36536,                  0.698,              0.0015735,              0.0015735,              0.0015735
                     16,                0.40845,                0.33054,                0.88274,                0.95787,                      1,                 0.9818,                0.89866,                0.42176,                0.32373,                0.67494,              0.0015431,              0.0015431,              0.0015431
                     17,                0.41759,                0.33315,                0.87563,                0.95785,                      1,                  0.967,                0.87602,                0.41579,                0.33657,                 0.7042,              0.0015126,              0.0015126,              0.0015126
                     18,                0.42621,                0.32569,                0.88246,                0.95699,                      1,                 0.9734,                0.83619,                0.56131,                0.41471,                0.70374,              0.0014822,              0.0014822,              0.0014822
                     19,                0.42685,                0.32634,                0.88224,                0.94414,                      1,                 0.9718,                0.88422,                0.46847,                0.44774,                0.65985,              0.0014517,              0.0014517,              0.0014517
                     20,                0.40608,                  0.306,                0.87293,                 0.9551,                      1,                 0.9552,                0.85927,                0.37683,                0.35013,                0.66639,              0.0014212,              0.0014212,              0.0014212
                     21,                0.41799,                0.31809,                0.88466,                0.95765,                      1,                  0.957,                0.81074,                0.35468,                 0.3082,                0.66121,              0.0013908,              0.0013908,              0.0013908
                     22,                0.43574,                0.31576,                0.87892,                0.95787,                      1,                  0.967,                0.88441,                0.41835,                0.32475,                0.66395,              0.0013603,              0.0013603,              0.0013603
                     23,                0.40528,                 0.2958,                0.86984,                0.95788,                      1,                 0.9686,                0.88002,                0.46404,                0.36361,                0.69589,              0.0013298,              0.0013298,              0.0013298
                     24,                0.42413,                0.30862,                0.88478,                0.79961,                0.83333,                0.88667,                0.77146,                0.51281,                0.57037,                0.68249,              0.0012994,              0.0012994,              0.0012994
                     25,                0.37593,                0.28981,                0.87374,                0.95782,                      1,                 0.9552,                0.86275,                0.37284,                0.31566,                0.65453,              0.0012689,              0.0012689,              0.0012689
                     26,                0.36805,                 0.2786,                0.86918,                   0.96,                      1,                 0.9552,                0.86535,                0.41134,                0.33739,                0.66336,              0.0012385,              0.0012385,              0.0012385
                     27,                0.39957,                0.29411,                0.87466,                0.95798,                      1,                 0.9552,                0.90153,                0.37547,                0.28594,                0.66352,               0.001208,               0.001208,               0.001208
                     28,                0.37965,                0.27645,                0.86909,                0.95791,                      1,                 0.9618,                0.89652,                0.39858,                0.32003,                0.65932,              0.0011775,              0.0011775,              0.0011775
                     29,                0.37592,                0.27383,                0.86364,                0.95789,                      1,                 0.9552,                0.86166,                0.37308,                0.33151,                0.65532,              0.0011471,              0.0011471,              0.0011471
                     30,                0.39326,                0.28911,                0.86776,                0.95767,                      1,                 0.9686,                0.91368,                0.35957,                0.31102,                0.65479,              0.0011166,              0.0011166,              0.0011166
                     31,                0.36412,                0.27558,                0.86298,                0.95793,                      1,                  0.985,                0.88408,                0.42522,                0.28974,                0.68544,              0.0010862,              0.0010862,              0.0010862
                     32,                0.39805,                0.30362,                0.87123,                 0.9532,                      1,                 0.9686,                0.92533,                 0.3718,                0.36195,                0.64895,              0.0010557,              0.0010557,              0.0010557
                     33,                0.37061,                0.28097,                0.86798,                 0.9579,                      1,                  0.977,                0.90568,                0.34144,                0.29153,                0.65814,              0.0010252,              0.0010252,              0.0010252
                     34,                0.36522,                0.26945,                0.85869,                  0.958,                      1,                 0.9634,                0.89291,                0.44379,                0.30636,                0.67682,             0.00099477,             0.00099477,             0.00099477
                     35,                0.36412,                0.26668,                0.86203,                0.95777,                      1,                 0.9702,                0.91689,                0.39554,                0.30256,                 0.6655,             0.00096431,             0.00096431,             0.00096431
                     36,                0.37362,                0.28505,                0.86028,                0.82726,                      1,                 0.9618,                0.87883,                0.41405,                0.32812,                0.66392,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.3775,                0.27071,                0.86366,                0.95346,                      1,                 0.9634,                0.85666,                0.50292,                0.33646,                0.65649,             0.00090338,             0.00090338,             0.00090338
                     38,                0.37696,                0.26112,                0.86744,                0.82696,                      1,                 0.9818,                0.89987,                0.33056,                0.30093,                0.64827,             0.00087292,             0.00087292,             0.00087292
                     39,                0.37805,                0.27689,                0.87311,                0.95785,                      1,                  0.987,                0.94581,                0.38177,                0.32332,                0.64905,             0.00084246,             0.00084246,             0.00084246
                     40,                0.36334,                0.25996,                0.86954,                0.95796,                      1,                 0.9552,                 0.8979,                0.37086,                0.28911,                 0.6594,               0.000812,               0.000812,               0.000812
                     41,                0.35934,                0.25538,                0.85927,                0.95793,                      1,                 0.9552,                0.91264,                0.37982,                0.29836,                0.64662,             0.00078154,             0.00078154,             0.00078154
                     42,                0.38141,                 0.2678,                0.87126,                0.95794,                      1,                 0.9552,                0.86558,                 0.4403,                0.27317,                0.66505,             0.00075108,             0.00075108,             0.00075108
                     43,                0.35948,                0.25168,                0.85863,                0.95794,                      1,                 0.9552,                0.90149,                0.39217,                0.25238,                0.65096,             0.00072062,             0.00072062,             0.00072062
                     44,                0.33705,                0.24535,                0.85628,                0.95796,                      1,                 0.9618,                0.90566,                0.39392,                0.30639,                0.64742,             0.00069015,             0.00069015,             0.00069015
                     45,                 0.3417,                0.24004,                0.85427,                0.95794,                      1,                 0.9618,                0.91995,                0.38035,                0.27202,                0.65429,             0.00065969,             0.00065969,             0.00065969
                     46,                0.33847,                0.23699,                0.85934,                0.95797,                      1,                 0.9618,                0.91719,                0.36343,                0.26302,                0.64972,             0.00062923,             0.00062923,             0.00062923
                     47,                0.34274,                0.23666,                0.85637,                0.95793,                      1,                 0.9618,                0.93229,                0.36926,                0.28521,                0.64854,             0.00059877,             0.00059877,             0.00059877
                     48,                 0.3362,                0.23367,                0.86475,                0.95806,                      1,                  0.995,                0.94434,                 0.3833,                0.26547,                0.64695,             0.00056831,             0.00056831,             0.00056831
                     49,                0.33737,                0.23242,                 0.8521,                0.95787,                      1,                 0.9802,                0.90645,                0.42889,                0.29087,                0.64926,             0.00053785,             0.00053785,             0.00053785
                     50,                0.33803,                0.23238,                 0.8637,                 0.9579,                      1,                 0.9702,                0.91534,                0.37955,                0.28148,                0.65204,             0.00050738,             0.00050738,             0.00050738
                     51,                0.32345,                0.22111,                0.85564,                0.95795,                      1,                 0.9552,                  0.906,                0.38116,                0.27935,                0.64303,             0.00047692,             0.00047692,             0.00047692
                     52,                 0.3365,                0.21758,                0.86054,                0.95796,                      1,                 0.9552,                0.90718,                0.38975,                0.29472,                0.64885,             0.00044646,             0.00044646,             0.00044646
                     53,                0.32568,                0.22075,                0.85326,                0.95793,                      1,                 0.9602,                 0.9259,                0.38074,                0.29809,                0.64799,               0.000416,               0.000416,               0.000416
                     54,                0.32414,                0.21893,                0.85603,                0.95794,                      1,                 0.9602,                0.93542,                0.35969,                0.27572,                 0.6406,             0.00038554,             0.00038554,             0.00038554
                     55,                0.32399,                0.21605,                0.85875,                0.95797,                      1,                 0.9602,                0.91159,                0.38644,                0.27655,                0.64072,             0.00035508,             0.00035508,             0.00035508
                     56,                0.32077,                0.23655,                0.83372,                   0.96,                      1,                  0.965,                0.92944,                0.38186,                0.28212,                0.64383,             0.00032462,             0.00032462,             0.00032462
                     57,                0.29446,                0.20934,                0.83865,                0.82665,                      1,                 0.9718,                0.92733,                0.35922,                0.30668,                0.64056,             0.00029415,             0.00029415,             0.00029415
                     58,                 0.2958,                0.20937,                0.85337,                0.82668,                      1,                  0.967,                0.91363,                0.38162,                0.37553,                0.63928,             0.00026369,             0.00026369,             0.00026369
                     59,                0.30518,                0.21526,                0.83366,                0.72725,                      1,                  0.965,                0.85957,                0.36586,                0.36748,                0.63351,             0.00023323,             0.00023323,             0.00023323
                     60,                 0.2841,                0.20586,                0.84141,                0.82759,                      1,                 0.9718,                0.89959,                0.35636,                 0.3507,                0.63569,             0.00020277,             0.00020277,             0.00020277
                     61,                  0.285,                 0.1936,                0.83431,                0.82759,                      1,                  0.967,                0.90538,                0.38663,                0.29988,                0.64319,             0.00017231,             0.00017231,             0.00017231
                     62,                0.29501,                0.20597,                0.84469,                   0.96,                      1,                  0.957,                0.93256,                0.35156,                0.28579,                0.64179,             0.00014185,             0.00014185,             0.00014185
                     63,                0.29208,                 0.2025,                0.82951,                   0.96,                      1,                 0.9552,                0.92515,                0.35021,                0.26575,                0.64054,             0.00011138,             0.00011138,             0.00011138
                     64,                0.28278,                0.19315,                0.83668,                   0.96,                      1,                 0.9734,                0.93967,                0.35952,                0.27603,                0.64066,             8.0923e-05,             8.0923e-05,             8.0923e-05
                     65,                0.26651,                0.18026,                0.83896,                   0.96,                      1,                 0.9734,                0.94351,                0.34885,                0.27626,                0.63954,             5.0462e-05,             5.0462e-05,             5.0462e-05
